Company,Website,Phone,Address,Email,Team Page,Person 1,Job 1,Person 2,Job 2,Person 3,Job 3
Popdust,"=HYPERLINK(""http://popdust.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'6 W. 20th St 3rd Floor New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+popdust"")",David Wade,"Co-Founder, President/GM",Greg Zimerman,Chief Technology Officer,Craig Marks,Co-Founder
Logoworks,"=HYPERLINK(""http://www.logoworks.com"")",747-666-5646,"=HYPERLINK(""https://www.google.com/maps/preview/place/'1 State Street Plaza  New York'"")",support@logoworks.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+logoworks"")",Jeff Kearl,Executive Vice President and Board of Directors,Noelle Bates,VP of Communications,Mark Solon,Director
Ackuna,"=HYPERLINK(""http://ackuna.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'545 8th Ave Suite 1250 New York'"")",info@ackuna.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+ackuna"")", ,"", ,"", ,""
MPP Global Solutions,"=HYPERLINK(""http://www.mppglobal.com"")",08448731418,"=HYPERLINK(""https://www.google.com/maps/preview/place/'44 West 28th Street 8th Flr. New York'"")",sales@mppglobal.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+mpp-global"")",Jim Johnson,Chief Financial Officer,Paul Johnson,Chief Executive Officer,Scott O'Neill,Senior VP of Sales
Depositphotos,"=HYPERLINK(""http://www.depositphotos.com"")",1-954-990-0075,"=HYPERLINK(""https://www.google.com/maps/preview/place/'547 Broadway  New York'"")",marketing@depositphotos.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+depositphotos"")",Dmitry Sergeev,Founder,Elena Flanagan-Eister,CEO,Igor Kaluzhny,COO
Squeaky Wheel Media,"=HYPERLINK(""http://www.squeaky.com"")",1(212)994-5270,"=HYPERLINK(""https://www.google.com/maps/preview/place/'640 West 28th Street  New York'"")",info@Squeakywheelmedia.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+squeaky-wheel-media"")",Anthony Del Monte,President + Founder,Mailet Lopez,Director of Client Services + Co-Founder,Ronan McCoy,Director of IT Development
ThinkNear,"=HYPERLINK(""http://www.thinknear.com"")",(866) 687-4895,"=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",founders@thinknear.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+thinknear"")",Eli Portnoy,CEO/Co-Founder,John Hinnegan,CTO/Co-Founder,David Tannenbaum,COO
ShuttleCloud,"=HYPERLINK(""http://shuttlecloud.com"")",646 481 0046,"=HYPERLINK(""https://www.google.com/maps/preview/place/'86 Chambers St, Suite 704  New York'"")",info@shuttlecloud.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+shuttlecloud"")",Sean Dunleavy,Operations & Project Management (Consultant), ,"", ,""
PrayWith.Me,"=HYPERLINK(""http://www.praywith.me"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+praywith-me"")",Mark Chou,Founder,Carlin Yuen,Co-founder, ,""
Intercast Network,"=HYPERLINK(""http://www.intercastnetwork.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'145 W. 28th St. Suite 801 New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+intercast-network"")",Zach Suchin,Investor,Jessica Insalaco,Business Development,Jason Schutzbank,Partner
Mindset Media,"=HYPERLINK(""http://www.mindset-media.com"")",212-414-4600,"=HYPERLINK(""https://www.google.com/maps/preview/place/'12 W. 21st St., 5th Floor  New York'"")",info@mindset-media.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+mindset-media"")",Howie Liu,Data Analytics/Web Products, ,"", ,""
Datadog,"=HYPERLINK(""http://datadoghq.com"")",866-329-4466 ,"=HYPERLINK(""https://www.google.com/maps/preview/place/'286 Fifth Avenue 12th Floor New York'"")",info@datadoghq.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+datadog"")",Olivier Pomel,CEO,Alexis Lê-Quôc,CTO,Tony Merlino,"VP, Sales"
Oriel Wines,"=HYPERLINK("""")",,"=HYPERLINK(""https://www.google.com/maps/preview/place/'161 Avenue of the Americas, Ste 904  New York'"")",,"=HYPERLINK(""https://www.google.com/search?q='management+team'+oriel-wines"")",Richard Muirhead,CEO,Gabrielle Darbyshire,COO,Gregg Freishtat,Investor
RecruitingScience,"=HYPERLINK(""http://recruitingscience.com"")",REC-RUI-TING (732-784-8464),"=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",info@recruitingscience.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+recruitingscience"")",Steven Englander,Founder & CEO, ,"", ,""
Imano,"=HYPERLINK(""http://www.imano.com"")",646.442.4494,"=HYPERLINK(""https://www.google.com/maps/preview/place/'22 East 49th Street  New York'"")",us.experts@imano.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+imano"")",Dana Farbo,President, ,"", ,""
Tech Team Manhattan,"=HYPERLINK(""http://techteammanhattan.com"")",212-300-5602,"=HYPERLINK(""https://www.google.com/maps/preview/place/'545 8th Avenue, Suite 401  New York'"")",support@techteammanhattan.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+tech-team-manhattan"")",Joe Cistaro,VP Sales,Sergiy Zvyagintsev,Sr. Network Engineer, ,""
Group Commerce,"=HYPERLINK(""http://www.groupcommerce.com"")",646.692.8000,"=HYPERLINK(""https://www.google.com/maps/preview/place/'628 Broadway Suite 500 New York'"")",info@groupcommerce.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+group-commerce"")",Vib Prasad,Chief Operating Officer,Soniya Sapre,VP of Product Management,Mike Wallace,VP of Publisher Sales
UrbanApt,"=HYPERLINK(""http://www.urbanapt.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",info@urbanapt.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+urbanapt"")", ,"", ,"", ,""
Reputation Communications,"=HYPERLINK(""http://www.reputation-communications.com"")",212-836-4372,"=HYPERLINK(""https://www.google.com/maps/preview/place/'445 Park Avenue 9th Floor New York'"")",inquiries@reputation-communications.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+reputation-communications"")",Shannon M. Wilkinson,"Founder, President", ,"", ,""
Parliament Tutors,"=HYPERLINK(""http://www.parliamenttutors.com"")",6467500202,"=HYPERLINK(""https://www.google.com/maps/preview/place/'177 East 87th Street  New York'"")",newyork@parliamenttutors.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+parliament-tutors"")",Miriam Holt,Chief Academic Advisor, ,"", ,""
The Frisky,"=HYPERLINK(""http://www.thefrisky.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'600 Third Avenue, 8th Floor  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+the-frisky"")",Amy Boshnack,Editorial Consultant, ,"", ,""
Want Me Get Me,"=HYPERLINK(""http://www.wantmegetme.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'261 Fifth Avenue, Floor 22  New York'"")",helpme@wantmegetme.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+want-me-get-me"")",Tristan Gatsby Mace,Co-Founder,Alejandro Barrera,Go Board Advisor,Mona Nomura,Go Board Advisor
Sam's Clan,"=HYPERLINK(""http://www.samsclan.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+sams-clan"")",Matthew Kane,Co-Founder, ,"", ,""
ModelKarma,"=HYPERLINK(""http://www.modelkarma.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+modelkarma"")",Roman Wunderlich,COO,Thomas Zeumer,CEO, ,""
The Bula,"=HYPERLINK(""http://www.TheBula.com"")",917-412-5121,"=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",info@TheBula.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+the-bula"")", ,"", ,"", ,""
InterimManagement.com,"=HYPERLINK(""http://www.interimmanagement.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'The Seagram Building 375 Park Avenue, Suite 2607 New York'"")",info@interimmanagement.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+interimmanagement-com"")",Anna Fedorova,CEO, ,"", ,""
ccccccccccccc,"=HYPERLINK("""")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'245 Park Avenue Suite 3900 New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+umii-products"")", ,"", ,"", ,""
Biz2Credit,"=HYPERLINK(""http://www.biz2credit.com"")",(212) 644-4555,"=HYPERLINK(""https://www.google.com/maps/preview/place/'121 W. 27th St 4th fl. New York'"")",info@biz2credit.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+biz2credit"")",Rohit Arora,"",Raj Tulshan,Business Development,Ramit Arora,""
FlightAware,"=HYPERLINK(""http://flightaware.com"")",+1-713-877-9010,"=HYPERLINK(""https://www.google.com/maps/preview/place/'500 Fifth Avenue, Suite 2200  New York'"")",contact@flightaware.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+flightaware"")",Daniel Baker,CEO,Karl Lehenbauer,CTO,Rachel Miller,"VP, Advertising Sales"
Locus Energy,"=HYPERLINK(""http://www.locusenergy.com"")",1-877-LOCUS-EN,"=HYPERLINK(""https://www.google.com/maps/preview/place/'1375 Broadway Suite 1100 New York'"")",info@locusenergy.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+locus-energy"")",Robert Johnston,Investor,Matthew Williams,Data Scientist,Marcello Oliva,Software Engineer
Hacker School,"=HYPERLINK(""http://hackerschool.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+hacker-school"")",Sonali Sridhar,Co-founder,Nicholas Bergson-Shilcock,Co-founder,David Albert,Co-founder
Aronsson Group,"=HYPERLINK(""http://www.aronssongroup.com"")",1-212-759-1777,"=HYPERLINK(""https://www.google.com/maps/preview/place/'1350 Avenue of the Americas 2nd Floor New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+aronsson-group"")",Shauna Mei,Co-Founder, ,"", ,""
RedRover,"=HYPERLINK(""http://www.redroverapp.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'86 Chambers Street, Suite 704 New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+redrover"")", ,"", ,"", ,""
Steak Group,"=HYPERLINK(""http://www.steakdigital.co.uk"")",+44 (0)20 7420 3500,"=HYPERLINK(""https://www.google.com/maps/preview/place/'32 Avenue of the Americas 16th Floor New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+steak"")",Chrysi Philalithes,"Managing Director, NY / Board Member",Mark-Anthony Baker,Head of Mobile,Noah Elkin,Managing Partner
(RED),"=HYPERLINK(""http://www.red.org"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'49 West 27th Street 3rd Floor New York'"")",hello@red.org,"=HYPERLINK(""https://www.google.com/search?q='management+team'+red"")",Seb Bishop,International CEO,Chrysi Philalithes,Head of Digital,Alexis Dormandy,European Chairman
Transmitive,"=HYPERLINK(""http://www.transmitive.com"")",212.706.8880,"=HYPERLINK(""https://www.google.com/maps/preview/place/'30 West 63rd Street Ste 3R New York'"")",info@transmitive.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+transmitive-llc"")",Michael Meyer,CEO/Founder,Dan Kozikowski,Business Development, ,""
Ordr.in,"=HYPERLINK(""http://ordr.in"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/' 900 Broadway, Suite 706 New York'"")",info@ordrin.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+ordr-in"")",David Bloom,Founder & CEO,Felix Sheng,"Co-Founder, CTO",Meghan Paul,Director of Business Operations
LifeEnsured,"=HYPERLINK(""http://www.lifeensured.com"")",347-227-0189,"=HYPERLINK(""https://www.google.com/maps/preview/place/'160 Varick Street 12th Floor New York'"")",support@lifeensured.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+lifeensured"")",Michael Aiello,Founder,Alexey Topolyanskiy,Web Designer,Navin Chaddha,""
Credit.com,"=HYPERLINK(""http://www.credit.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'1501 Broadway  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+credit-com"")",Ian Cohen,CEO,Linda Chen,VP of Product Marketing,Editor in Chief,Michael Schreiber
Jay Suites,"=HYPERLINK(""http://www.jaysuites.com"")",2125699000,"=HYPERLINK(""https://www.google.com/maps/preview/place/'369 Lexington Avenue Second Floor New York'"")",info@jaysuites.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+jay-suites"")", ,"", ,"", ,""
Jay Suites,"=HYPERLINK(""http://www.jaysuites.com"")",2125699000,"=HYPERLINK(""https://www.google.com/maps/preview/place/'1370 Broadway Fifth Floor New York'"")",info@jaysuites.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+jay-suites"")", ,"", ,"", ,""
Jay Suites,"=HYPERLINK(""http://www.jaysuites.com"")",2125699000,"=HYPERLINK(""https://www.google.com/maps/preview/place/'2 West 46th Street Mezzanine Level New York'"")",info@jaysuites.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+jay-suites"")", ,"", ,"", ,""
Jay Suites,"=HYPERLINK(""http://www.jaysuites.com"")",2125699000,"=HYPERLINK(""https://www.google.com/maps/preview/place/'30 Broad Street 14th Floor New York'"")",info@jaysuites.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+jay-suites"")", ,"", ,"", ,""
Jay Suites,"=HYPERLINK(""http://www.jaysuites.com"")",2125699000,"=HYPERLINK(""https://www.google.com/maps/preview/place/'1441 Broadway, 5th floor  New York'"")",info@jaysuites.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+jay-suites"")", ,"", ,"", ,""
Yieldbot,"=HYPERLINK(""http://www.yieldbot.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'25 East 21st Street 8th Floor New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+yieldbot"")",Jonathan Mendez,Founder/CEO,Soren Macbeth,Chief Data Hacker,Evan Rutchik,"VP, Agency Development"
Donovan Data Systems,"=HYPERLINK(""http://www.donovandata.com"")",1-212-633-8100,"=HYPERLINK(""https://www.google.com/maps/preview/place/'115 West 18th Street  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+donovan-data-systems"")",Julien Nabet,CEO,Michael Donovan,Chairman and CEO,Rob Armstrong,Product Manager
Of a Kind,"=HYPERLINK(""http://ofakind.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'139 Fulton St. Ste. 810  New York'"")",info@ofakind.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+of-a-kind"")",Claire Mazur,Co-Founder and CEO,Erica Cerulo,Co-Founder and President, ,""
Elauwit,"=HYPERLINK(""http://elauwit.com"")",212-796-5954,"=HYPERLINK(""https://www.google.com/maps/preview/place/'40 Wall Street 28th Floor New York'"")",info@elauwit.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+elauwit"")", ,"", ,"", ,""
Custora,"=HYPERLINK(""http://www.custora.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'1133 Broadway  Suite 1626  New York'"")",info@custora.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+custora"")",Jon Pospischil,Co-Founder,Corey Pierson,Co-Founder,Aubrey Holland,Senior Software Engineer
Green Hands USA,"=HYPERLINK(""http://greenhandsusa.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+green-hands-usa"")",Catherine Billon,Founder & CEO,Thomas Coristine,Founder & President, ,""
Manilla,"=HYPERLINK(""http://www.manilla.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'300 West 57th Street 15th Floor New York'"")",info@manilla.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+manilla"")",Jim Schinella,Chief Executive Officer,Christine Ciandrini,"Vice President, Operations and Infrastructure",Marc Karasu,VP Marketing
Marks Paneth & Shron LLP,"=HYPERLINK(""http://www.markspaneth.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'622 Third Avenue  New York'"")",contacts@markspaneth.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+marks-paneth-shron"")", ,"", ,"", ,""
BONDS.COM,"=HYPERLINK(""http://bonds.com"")",212-946-3986,"=HYPERLINK(""https://www.google.com/maps/preview/place/'1500 Broadway  New York'"")",contactus@bonds.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+bonds-com"")",Thomas M. Thees,Chief Executive Officer,George O'krepkie,President & Board Member,Ted K. Smith,Senior Managing Director  / Relationship Manager
Divide,"=HYPERLINK(""http://www.divide.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'56 West 22nd Street 10th Floor New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+divide"")",David Zhu,CTO & Co-Founder,Andrew Toy,CEO & Co - Founder,Nick Turner,Chief Revenue Officer
DailyWorth,"=HYPERLINK(""http://www.dailyworth.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+dailyworth"")",Amanda Steinberg,Founder and CEO,Jennifer Barrett,Editor-in-Chief/VP of Editorial and Product Strategy,Olivia Gelade,"SVP, Sales & Partnerships"
Usablenet,"=HYPERLINK(""http://usablenet.com"")",212-965-5388,"=HYPERLINK(""https://www.google.com/maps/preview/place/'28 W. 23rd Street 6th Floor New York'"")",contact@usablenet.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+usablenet"")",Renee Pecor,CPO,Carin Vuuren,CMO,Andrew Goldbarg,Vice President-Global Growth Accounts
Filmakers Library,"=HYPERLINK(""http://www.filmakers.com"")",212-808-4980,"=HYPERLINK(""https://www.google.com/maps/preview/place/'124 East 40th Street  New York'"")",info@filmakers.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+filmakers-library"")", ,"", ,"", ,""
Astro Ape,"=HYPERLINK(""http://www.astroapestudios.com"")",646-415-8274,"=HYPERLINK(""https://www.google.com/maps/preview/place/'West 23rd St.  New York'"")",info@astroapestudios.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+astro-ape"")",Chieh Huang,Chief Executive Officer,Chris Cheung,Chief Creative Officer,William Fong,Chief Technology Officer
Entrepreneurs Roundtable Accelerator,"=HYPERLINK(""http://eranyc.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'214 W. 29th St. Fifth Floor New York'"")",info@eranyc.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+er-accelerator"")",Murat Aktihanoglu,Managing Director,Charlie Kemper,Managing Director,Galina Ozgur,Program Manager
YellowHammer,"=HYPERLINK(""http://www.yhmg.com"")",646-490-9841 ,"=HYPERLINK(""https://www.google.com/maps/preview/place/'111 W 28th Street FL 2  New York'"")",it@yhmg.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+yellowhammer"")",Joseph Hirsch,Co-Founder and CMO,Jared Christopherson,CIO,Ryan Hubbard,CTO & Partner
eReinsure.com,"=HYPERLINK(""http://www.ereinsure.com"")",(212) 612-2711,"=HYPERLINK(""https://www.google.com/maps/preview/place/'55 Water Street 28th Floor New York'"")",phenriod@eReinsure.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+ereinsure-com"")", ,"", ,"", ,""
Morescape,"=HYPERLINK(""http://www.morescape.com"")",(646) 783-8MOR,"=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",info@morescape.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+morescape"")",Bobby Chowdhury,CEO & Founder,Nikolai Chowdhury,VP Technology, ,""
Sardar Law Firm LLC,"=HYPERLINK(""http://www.sardarlawfirm.com"")",917.740.5097,"=HYPERLINK(""https://www.google.com/maps/preview/place/'30 Broad Street 14th Floor New York'"")",sardar@sardarlawfirm.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+sardar-law-firm-llc"")",Sheheryar Sardar,Attorney, ,"", ,""
Rauxa,"=HYPERLINK(""http://www.rauxa.com"")",714-427-1271,"=HYPERLINK(""https://www.google.com/maps/preview/place/'100 Ave. of the Americas 2nd Floor New York'"")",rbumgarner@rauxa.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+rauxa-agency"")",Jill Gwaltney,Founder,John Barneson,Chief Operating Officer,Ian Baer,Chief Strategy Officer
Shelby.tv,"=HYPERLINK(""http://shelby.tv"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'23rd and Park  New York'"")",contact@shelby.tv,"=HYPERLINK(""https://www.google.com/search?q='management+team'+shelby-tv"")",Reece Pacheco,CEO,Dan Spinosa,CTO & Co-Founder,Henry Sztul,Engineer
Wicked Start,"=HYPERLINK(""http://www.wickedstart.com"")",3474820917,"=HYPERLINK(""https://www.google.com/maps/preview/place/'349 5th Ave  New York'"")",hartz@wickedstart.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+wicked-start"")",Darlene Newman,Co-Founder/Technologista,Bryan Janeczko,Founder & CEO, ,""
StyleTrek,"=HYPERLINK(""http://www.styletrek.com"")",1 646 380 8519,"=HYPERLINK(""https://www.google.com/maps/preview/place/'584 Broadway Suite 1002 New York'"")",cecilia@styletrek.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+styletrek"")",Cecilia Pagkalinawan,CEO,Sharon Harsa,VP Finance and Operations, ,""
ChefMod,"=HYPERLINK(""http://www.chefmod.com"")",(212) 531-6286,"=HYPERLINK(""https://www.google.com/maps/preview/place/'85 5th Avenue  New York'"")",purchasing@chefmod.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+chefmod"")",John Oldweiler,President, ,"", ,""
Coed Media Group,"=HYPERLINK(""http://www.coedmediagroup.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'237 w. 35th street Suite 704 New York'"")",Editor@coedmediagroup.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+coed-media-group"")",Steve Gebhardt,"Director, Marketing", ,"", ,""
Freedom Merchants,"=HYPERLINK(""http://www.freedommerchants.com"")",212-931-9064,"=HYPERLINK(""https://www.google.com/maps/preview/place/'850 Third Avenue 18th Fl New York'"")",info@freedommerchants.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+freedom-merchants"")",Ben Prusky,CEO, ,"", ,""
Feedgen,"=HYPERLINK(""http://www.feedgen.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",info@feedgen.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+feedgen"")",John Bruce,Technology Advisor,Keval Desai,Advisor,Eric Alterman,Advisor
Tracks,"=HYPERLINK(""http://www.tracks.io"")",917-674-7404,"=HYPERLINK(""https://www.google.com/maps/preview/place/'37 West 28th Street Fifth Floor New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+tracks"")",Daniel Klaus,Co-Founder/Board of Directors,Vic Singh,Founder and CEO,Eliot Durbin,Investor
Take the Interview,"=HYPERLINK(""http://www.taketheinterview.com"")",800-903-1593,"=HYPERLINK(""https://www.google.com/maps/preview/place/'307 W. 38th Street 13th Floor New York'"")",support@taketheinterview.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+take-the-interview"")",Danielle Weinblatt,"Founder, CEO",Anthony Cintron,Chief Technology Officer,Michael Greenberg,"VP, Sales"
Booker,"=HYPERLINK(""http://www.booker.com"")",+1-866-966-9798,"=HYPERLINK(""https://www.google.com/maps/preview/place/'22 Cortlandt Street Floor 18 New York'"")",info@booker.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+booker-software"")",Tom Karrat,Chief Revenue Officer,Josh McCarter,Chief Executive Officer,Matthew Mahoney,"VP, Business Development"
Ticketweb,"=HYPERLINK(""http://www.ticketweb.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'888 7th Ave 2nd Floor New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+ticketweb"")",Dan Porter,COO, ,"", ,""
SkyWeaver,"=HYPERLINK(""http://www.skyweaver.com"")",646-571-8596,"=HYPERLINK(""https://www.google.com/maps/preview/place/'1501 Broadway 25th Floor New York'"")",info@skyweaver.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+skyweaver"")", ,"", ,"", ,""
Tigerspike,"=HYPERLINK(""http://www.tigerspike.com"")",+6590694194,"=HYPERLINK(""https://www.google.com/maps/preview/place/'448 W 16th Street M&W 5th Floor, Suite 10 New York'"")",luke@tigerspike.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+tigerspike"")",Luke Janssen,CEO,Oliver Palmer,Cofounder and Head of Innovation,Nic Newman,MD and Head of Strategy
Ditto,"=HYPERLINK(""http://www.ditto.me"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'416 W 13th Suite 203,  New York'"")",contact@ditto.me,"=HYPERLINK(""https://www.google.com/search?q='management+team'+ditto"")",Jyri Engestrom,Founder & CEO, ,"", ,""
WDFA Marketing,"=HYPERLINK(""http://www.wdfamarketing.com"")",415-391-6600,"=HYPERLINK(""https://www.google.com/maps/preview/place/'1201 Broadway Suite 1001  New York'"")",liz@wdfamarketing.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+wdfa-marketing"")",Raj Prasad,Managing Partner,Andy Iverson,Managing Partner,Jason Hilton,Managing Partner
GoHazel,"=HYPERLINK(""http://www.gohazel.com"")",212-475-5280,"=HYPERLINK(""https://www.google.com/maps/preview/place/'853 Broadway, Suite 1717  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+gohazel"")",Ray Prisament,Founder, ,"", ,""
IntelligenceBank,"=HYPERLINK(""http://www.intelligencebank.com"")",+61 3 8618 7800,"=HYPERLINK(""https://www.google.com/maps/preview/place/'902 Broadway, 4th Floor  New York'"")",info@intelligencebank.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+intelligencebank"")",Tessa Court,CEO and Director, ,"", ,""
EquaMetrics,"=HYPERLINK(""http://www.equametrics.com"")",212-518-2523,"=HYPERLINK(""https://www.google.com/maps/preview/place/'34 W. 17th St. 6th Floor New York'"")",info@equametrics.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+equametrics"")",Adam Demos,Co-Founder,Christopher Ivey,"Co-Founder, CEO",Nafis Upshur,Chief Technology Officer
Triples Media,"=HYPERLINK(""http://www.triplesmedia.com"")",347 756 6940,"=HYPERLINK(""https://www.google.com/maps/preview/place/'11 Broadway Suite 632 New York'"")",brian@triplesmedia.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+triples-media"")",Shimon Afrah,Co-Founder,Brian Natanov,"Co-Founder, President", ,""
HiddenLevers,"=HYPERLINK(""http://www.hiddenlevers.com"")",212-292-4137,"=HYPERLINK(""https://www.google.com/maps/preview/place/'72 Allen Street, 3rd floor  New York'"")",info@hiddenlevers.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+hiddenlevers"")",Praveen Ghanta,Co-founder,Raj C. Udeshi,Co-founder, ,""
Access Network,"=HYPERLINK(""http://www.accessnetwork.com"")",212-651-1732,"=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",info@accessnetwork.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+accessnetwork"")",Ari Horowitz,Chief Executive Officer, ,"", ,""
